seed,key,dataset,task_type,target_idx,model,accuracy,precision,recall,f1_score,balanced_accuracy,cohen_kappa,matthews_corrcoef,imputed
0,alzheimer_0,Saliva Alzheimer,Classification,0,ARSENAL,0.948051948051948,0.9496501109404336,0.948051948051948,0.9461720599842148,0.897159090909091,0.8472727272727273,0.8542194449993828,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,AUTOGLUON,0.9783549783549784,0.9789529071297026,0.9783549783549784,0.9779911964785916,0.9545454545454546,0.93841642228739,0.9402009894445368,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,CAT,0.8268398268398268,0.8171108126575718,0.8268398268398268,0.8190924721536966,0.7238636363636364,0.484029484029484,0.4899345602527287,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,COATNET,0.8398268398268398,0.837379779498006,0.8398268398268398,0.8194799552525972,0.6948863636363636,0.4688995215311005,0.5086535641041573,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,DEEPCNN,0.935064935064935,0.9346994290497116,0.935064935064935,0.9348590438072468,0.9073863636363636,0.8198970840480275,0.819956190552649,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,DUMMY,0.7619047619047619,0.5804988662131518,0.7619047619047619,0.658944658944659,0.5,0.0,0.0,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,FASTAI,0.7792207792207793,0.7494922139471903,0.7792207792207793,0.737689184200812,0.5863636363636364,0.2210909090909091,0.2616027885121754,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,FCRESNEXT,0.8831168831168831,0.8812081772975628,0.8831168831168831,0.881972207074221,0.8295454545454546,0.671685002895194,0.6721323718030641,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,GBM,0.8268398268398268,0.8171108126575718,0.8268398268398268,0.8190924721536966,0.7238636363636364,0.484029484029484,0.4899345602527287,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,KNN,0.8441558441558441,0.8362903795857779,0.8441558441558441,0.837183224938327,0.7477272727272727,0.5356265356265356,0.542161086980177,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,LR,0.961038961038961,0.961732370543846,0.961038961038961,0.9600948852375416,0.924431818181818,0.8877005347593583,0.8911061577759574,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,MITRA,0.948051948051948,0.9477461314196008,0.948051948051948,0.9469887654245196,0.9096590909090908,0.8512396694214877,0.8536041880696871,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,NN_TORCH,0.8701298701298701,0.8759608761537403,0.8701298701298701,0.8723625387966628,0.8397727272727273,0.6549835706462213,0.6565484982611329,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,PLS,0.9393939393939394,0.941777997690912,0.9393939393939394,0.9366823652537938,0.8789772727272727,0.8194103194103194,0.8294069839811422,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,RAMANFORMER,0.6320346320346321,0.624987210182741,0.6320346320346321,0.6284310222706959,0.4835227272727272,-0.0335842501447596,-0.0336066185901532,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,RAMANNET,0.7748917748917749,0.7619047619047619,0.7748917748917749,0.7012596006144394,0.5397727272727273,0.1136363636363637,0.1976423537605237,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,RAMANTRANSFORMER,0.238095238095238,0.0566893424036281,0.238095238095238,0.0915750915750915,0.5,0.0,0.0,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,REALMLP,0.8614718614718615,0.856393991454121,0.8614718614718615,0.8575785869903517,0.7840909090909091,0.5980861244019139,0.6011282946609635,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,REALTABPFN-V2,0.9567099567099568,0.956791507811916,0.9567099567099568,0.9558239711870996,0.9215909090909092,0.8760330578512396,0.8784664459746294,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,REALTABPFN-V2.5,0.974025974025974,0.97416744475568,0.974025974025974,0.973681819558436,0.9517045454545454,0.9265734265734266,0.9276855556685566,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,REZERONET,0.935064935064935,0.9340962904498816,0.935064935064935,0.9339735894357742,0.8948863636363636,0.81524926686217,0.8167996095799414,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,RF,0.8311688311688312,0.8205535205535206,0.8311688311688312,0.8178667693492492,0.7079545454545455,0.471953578336557,0.4883908691055157,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,ROCKET,0.9437229437229436,0.9430676137858458,0.9437229437229436,0.9427771108443376,0.9068181818181816,0.839882697947214,0.8414798855528605,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,SANET,0.7619047619047619,0.5804988662131518,0.7619047619047619,0.658944658944659,0.5,0.0,0.0,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,TABDPT,0.9567099567099568,0.956364768129474,0.9567099567099568,0.9561363659307268,0.927840909090909,0.8776223776223776,0.8786757527275763,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,TABICL,0.974025974025974,0.97416744475568,0.974025974025974,0.973681819558436,0.9517045454545454,0.9265734265734266,0.9276855556685566,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,TABM,0.7965367965367965,0.8061471200429017,0.7965367965367965,0.8005591831678789,0.7414772727272727,0.462710941752858,0.4641995760673125,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,XGB,0.8268398268398268,0.8171108126575718,0.8268398268398268,0.8190924721536966,0.7238636363636364,0.484029484029484,0.4899345602527287,False
0,alzheimer_0,Saliva Alzheimer,Classification,0,XT,0.8138528138528138,0.799249222301986,0.8138528138528138,0.7949556650246306,0.6715909090909091,0.4007962840079628,0.4231169486812204,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,ARSENAL,0.815796178343949,0.8190011004533277,0.815796178343949,0.8112041856057248,0.8152820760799486,0.8083802313141353,0.8087974755709914,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,AUTOGLUON,0.9028025477707008,0.9032967240372206,0.9028025477707008,0.9025145496886878,0.9025274016763378,0.898981091263274,0.8990218396216965,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,CAT,0.8015286624203821,0.8048726159761577,0.8015286624203821,0.8014893500060548,0.8038330109606704,0.7936301970842332,0.7937943991502191,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,COATNET,0.8612101910828025,0.861215638166933,0.8612101910828025,0.8610568131948373,0.8626885880077368,0.8557759720070404,0.8557898995364344,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,DEEPCNN,0.9228025477707006,0.9242540916902904,0.9228025477707006,0.922850840563568,0.9269197292069632,0.9197914317569176,0.9198437375728936,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,DUMMY,0.0598726114649681,0.003584729603635,0.0598726114649681,0.006764453699167,0.0333333333333333,0.0,0.0,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,FASTAI,0.9319745222929936,0.9326072267404812,0.9319745222929936,0.9321543397131444,0.9340409413281754,0.9293262270103496,0.92933694308491,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,FCRESNEXT,0.9056687898089172,0.9096814860312084,0.9056687898089172,0.9051273505324288,0.903196324951644,0.901931905650629,0.9022303737700692,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,GBM,0.6221656050955414,0.6405202397947111,0.6221656050955414,0.6240977319084068,0.617498388136686,0.6061563704563571,0.6071624435559988,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,KNN,0.305796178343949,0.3872380316962313,0.305796178343949,0.2588922603176525,0.2944825918762089,0.2803868175863643,0.3042255269676671,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,LR,0.750063694267516,0.7487656713464007,0.750063694267516,0.7492112455850094,0.7664764667956158,0.7403361769565364,0.7403516756233628,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,MITRA,0.7071337579617835,0.7187520481759891,0.7071337579617835,0.7059592454441713,0.7100564152159896,0.6952569512017511,0.6960843434321252,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,NN_TORCH,0.9094267515923566,0.910409045961887,0.9094267515923566,0.9094513716273844,0.9101644100580272,0.9058843863624388,0.9059221406258944,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,PLS,0.4728025477707006,0.5011856035150346,0.4728025477707006,0.4078749230954145,0.4738571889103804,0.449993651277363,0.4540563381692112,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,RAMANFORMER,0.94,0.9400758794860306,0.94,0.9397715277002974,0.9416521598968408,0.9376684789480338,0.9376878251460647,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,RAMANNET,0.947452229299363,0.9479862653555214,0.947452229299363,0.947462082366502,0.948903932946486,0.9454069557923842,0.9454294131459892,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,RAMANTRANSFORMER,0.8271974522292994,0.8441080787096723,0.8271974522292994,0.8246375606274067,0.8249742101869763,0.820416724638781,0.8210582265623663,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,REALMLP,0.8903184713375796,0.8948355803546307,0.8903184713375796,0.8899523103328727,0.8910235332043843,0.8859932065016858,0.8861881987692902,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,REALTABPFN-V2,0.8871974522292994,0.8887760030927324,0.8871974522292994,0.8864342240173789,0.8857801418439716,0.8827550437380483,0.8828695449923454,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,REALTABPFN-V2.5,0.9010828025477708,0.9014873049330184,0.9010828025477708,0.9000501836466829,0.9012072856221792,0.8972017505396654,0.8972826670928536,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,REZERONET,0.902420382165605,0.9031699478097408,0.902420382165605,0.9025331750436034,0.903563829787234,0.8985995059063583,0.8986200946132334,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,RF,0.6297452229299363,0.6799261777534684,0.6297452229299363,0.6147687634905338,0.6054787234042553,0.6129498630160225,0.6178221240627467,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,ROCKET,0.8604458598726115,0.8629049604588446,0.8604458598726115,0.8587869863197095,0.8609735654416506,0.8548878080059397,0.8550910024480407,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,SANET,0.9313375796178344,0.9335189256411516,0.9313375796178344,0.9318788078415672,0.9323565441650548,0.9286593757705918,0.9287031813241464,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,TABDPT,0.8747770700636943,0.8766852070568413,0.8747770700636943,0.8745878133760785,0.8755609284332689,0.8698526543924339,0.8699351365255122,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,TABICL,0.905095541401274,0.9057054113979424,0.905095541401274,0.9050609266032807,0.9043681495809156,0.901383572500548,0.9014114364642704,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,TABM,0.9317834394904458,0.932428155971349,0.9317834394904458,0.9318556457011692,0.934659896840748,0.9291294974489958,0.9291501084518128,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,XGB,0.8415286624203822,0.845763575124158,0.8415286624203822,0.8421539291264143,0.8418181818181819,0.8352032873614621,0.8353694840266694,False
0,bacteria_identification_0,Pathogenic Bacteria,Classification,0,XT,0.5830573248407643,0.660122074112269,0.5830573248407643,0.561676925740594,0.5549049000644746,0.5634887869520897,0.570600833924017,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,ARSENAL,0.9761904761904762,0.9775733525733524,0.9761904761904762,0.9761342625023566,0.975,0.9740081138692154,0.9741421017445528,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,AUTOGLUON,0.992063492063492,0.9927849927849928,0.992063492063492,0.9920436010661574,0.9916666666666668,0.9913366336633664,0.9914048019036852,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,CAT,0.9603174603174603,0.9624218374218374,0.9603174603174603,0.9602413556320062,0.9602564102564104,0.9566801897820256,0.9568776153012468,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,COATNET,0.5793650793650794,0.5836883574978813,0.5793650793650794,0.5726657620340356,0.57511655011655,0.5406836783822822,0.5419904781255493,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,DEEPCNN,1.0,1.0,1.0,1.0,1.0,1.0,1.0,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,DUMMY,0.1031746031746031,0.0106449987402368,0.1031746031746031,0.0192988466369761,0.0833333333333333,0.0,0.0,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,FASTAI,0.9206349206349206,0.94007844007844,0.9206349206349206,0.9186520908897504,0.9212703962703964,0.91340206185567,0.9154799880376936,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,FCRESNEXT,0.984126984126984,0.9848484848484848,0.984126984126984,0.984126984126984,0.9860139860139862,0.9826744585768306,0.9827420242024204,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,GBM,0.9365079365079364,0.9407166907166908,0.9365079365079364,0.9353293984769092,0.9352564102564102,0.930697834307322,0.9312101237820298,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,KNN,0.9444444444444444,0.9512506012506012,0.9444444444444444,0.9429546665533052,0.9431818181818182,0.939331407346265,0.9401729214040006,False
0,cancer_cell_(cooh)2_0,Cancer Cell Metabolite ((COOH)2),Classification,0,LR,0.9682539682539684,0.96948223733938,0.9682539682539684,0.9681756534576992,0.9674242424242424,0.9653393851867136,0.9654722353718324,False
