seed,key,dataset,task_type,target_idx,model,mse,rmse,mae,r2,mape,explained_variance,max_error,median_ae,imputed
0,acetic_acid_species_0,Acetic Concentration,Regression,0,AUTOGLUON,1.814668256139679e-09,4.259892318051806e-05,3.065183268333333e-05,0.9998504915498484,16105.543429131489,0.999869931628362,0.00010531582,2.5214291e-05,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,CAT,2.8984602359858605e-07,0.000538373498232,0.0004728015899833,0.9761199163405114,1148419.500567143,0.9764140839745996,0.0007769129999999,0.0005790803,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,COATNET,3.99141894315143e-07,0.0006317767757009,0.0004983522819055,0.9671151540741756,128759.12995268928,0.9728196178048996,0.0010475176,0.0002640916999999,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,DEEPCNN,1.6292723377915015e-05,0.0040364245784995,0.0036991680077611,-0.3423389166254351,11094736.49644822,-0.0022242438543984,0.00594966011485,0.0034551795,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,DUMMY,1.5133184053435869e-05,0.0038901393359924,0.0035958395633166,-0.246805792757649,10507164.891588852,0.0,0.00563456711485,0.0031530333,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,FASTAI,1.5547524619913706e-05,0.0039430349503794,0.0036265500633166,-0.2809428399669416,10748017.94716706,-0.0047427700134821,0.0058707333549999,0.003217234,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,FCRESNEXT,2.934467603502103e-07,0.0005417072644429,0.0004754957177611,0.9758232557419044,164112.61495299716,0.9776574600492294,0.0008447384,0.000518123025,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,GBM,1.5133184053435869e-05,0.0038901393359924,0.0035958395633166,-0.246805792757649,10507164.891588852,0.0,0.00563456711485,0.0031530333,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,KNN,2.436412986235269e-07,0.0004936003430139,0.0004080167333166,0.9799266709896494,126877.11000758184,0.979988217887292,0.000788583,0.00027183257,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,LR,4.107551170163625e-07,0.000640901799823,0.0006005459155388,0.966158353886896,1026253.1326829852,0.968778539502756,0.000830464855,0.00059143174,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,MITRA,9.834675105778564e-08,0.0003136028556276,0.0002557210589055,0.9918973232278964,771522.478071275,0.9924304568259324,0.0006225123,0.000135217925,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,NN_TORCH,2.0662705599057034e-08,0.000143745280267,0.00011943039335,0.998297623226944,262288.5059385546,0.9983010404702048,0.00027915416,9.824960000000012e-05,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,PLS,4.3613689592688227e-07,0.0006604066140847,0.0006125174510944,0.9640671780402011,1077425.9441781556,0.9642049259196002,0.0009527616999999,0.000636896,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,RAMANFORMER,1.4381360887562323e-05,0.0037922764782597,0.00351617559665,-0.184863938681824,10143221.488120724,0.027710203181685,0.005451506355,0.00303457,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,RAMANNET,1.802445030926828e-07,0.0004245521205843,0.0003489171979833,0.9851498607447612,67610.88592669068,0.988590174772862,0.0007304003,0.0003028976,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,RAMANTRANSFORMER,0.0003970711313369,0.0199266437549572,0.0196207853522055,-31.71423812329651,43865104.833375566,0.0034314677725104,0.02352359381485,0.021033766,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,REALMLP,5.976716284509238e-08,0.0002444732354371,0.0002212252310944,0.9950758515465864,528325.686947138,0.9951220422890944,0.0003771122999999,0.0002280069999999,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,REALTABPFN-V2,6.432494713505229e-08,0.0002536236328401,0.0001892547872388,0.9947003408916708,26769.282626016935,0.9976140701206052,0.0004396013,0.000228281,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,REALTABPFN-V2.5,1.5125150763163652e-08,0.0001229843517003,0.0001023734081277,0.9987538560608754,44798.8215663667,0.9995187655889796,0.0001758209999999,0.0001396732999999,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,REZERONET,9.17116768989797e-08,0.0003028393582396,0.0002276254744277,0.9924439794284268,427765.1250306388,0.9927645028021967,0.000735485,0.000215797,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,RF,3.735692726904188e-07,0.0006112031353735,0.0005524244499833,0.9692220532346644,1140426.1264182078,0.9694575503149412,0.0010818289999999,0.000528227,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,SANET,1.637983475234918e-05,0.0040472008539667,0.0037054272633166,-0.349515923518108,11119861.552327791,0.0001318405585241,0.005963132355,0.0034822847,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,TABDPT,1.0443506327723318e-06,0.0010219347497625,0.0008869359488722,0.9139571412061808,741858.9135494094,0.9381711531115912,0.0021471397,0.000901542,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,TABICL,3.515271325901547e-08,0.0001874905684534,0.0001218281407944,0.997103808004467,30484.701590229495,0.9973863823633352,0.0003958389999999,5.566467999999997e-05,False
0,acetic_acid_species_0,Acetic Concentration,Regression,0,TABM,1.2520992026381014e-06,0.001118972386897,0.0008086047610944,0.8968409732251966,485127.1619502356,0.9121994337441468,0.0028212315,0.0006826639999999,False
